0.0189 0.04 0 0.04 0.02
0.019 0.04 0 0.06 0.02
0.0191 0.04 0 0.04 0.02
0.0192 0.06 0 0.06 0.02
0.0193 0.04 0.02 0.04 0.04
0.0194 0.04 0.02 0.06 0.02
0.0195 0.04 0 0.04 0.02
0.0196 0.04 0.02 0.04 0.02
0.0197 0.04 0 0.04 0
0.0198 0.04 0.02 0.04 0.02
0.0199 0.02 0.02 0.02 0.02
0.02 0.04 0.02 0.06 0.02
0.0201 0.02 0.02 0.04 0.04
0.0202 0.04 0 0.04 0.02
0.0203 0.04 0 0.06 0
0.0204 0.06 0.02 0.04 0.02
0.0205 0.04 0 0.06 0
0.0206 0.02 0.02 0.02 0.02
0.0207 0.04 0 0.04 0.02
0.0208 0.02 0.02 0.04 0.02
0.0209 0.04 -0.02 0.04 0.02
0.021 0.02 0.02 0.04 0.02
0.0211 0.02 0.02 0.04 0.02
0.0212 0.04 0.02 0.04 0
0.0213 0.04 0 0.04 0.02
0.0214 0.02 0 0.04 0
0.0215 0.02 0 0.06 0.02
0.0216 0.04 0.02 0.06 0.02
0.0217 0.02 0.02 0.04 0
0.0218 0.04 0.02 0.04 0.02
0.0219 0.04 0.02 0.04 0.02
0.022 0.04 0 0.06 0
0.0221 0.04 0.02 0.04 0.02
0.0222 0.04 0.02 0.04 0.04
0.0223 0.02 0.02 0.04 0.02
0.0224 0.04 0 0.04 0.02
0.0225 0.04 0 0.04 0.02
0.0226 0.04 0.02 0.04 0.02
0.0227 0.04 0.02 0.02 0
0.0228 0.06 0.02 0.06 0.02
0.0229 0.06 0 0.04 0.02
0.023 0.02 0 0.06 0.02
0.0231 0.02 0.04 0.04 0
0.0232 0.04 0 0.04 0.02
0.0233 0.04 0.02 0.04 0.02
0.0234 0.06 0.02 0.04 0
0.0235 0.06 0.02 0.04 0.02
0.0236 0.02 0.02 0.06 0.02
0.0237 0.04 0 0.04 0.02
0.0238 0.02 0 0.06 0.02
0.0239 0.04 0 0.04 0.02
0.024 0.04 0.02 0.06 0
0.0241 0.04 0.02 0.04 0
0.0242 0.02 0 0.04 0.02
0.0243 0.04 0.02 0.06 0.02
0.0244 0.04 0 0.06 0.02
0.0245 0.04 0.02 0.04 0.02
0.0246 0.04 0.02 0.02 0.02
0.0247 0.04 0.02 0.04 0
0.0248 0.04 0.02 0.04 0
0.0249 0.04 0 0.04 0.02
0.025 0.04 0.02 0.04 0.02
0.0251 0.06 0 0.04 0.02
0.0252 0.02 0.02 0.04 0.02
0.0253 0.04 0 0.04 0.02
0.0254 0.02 -0.02 0.04 0.02
0.0255 0.06 0.02 0.04 0
0.0256 0.04 0.02 0.04 0.02
0.0257 0.04 0 0.04 0.02
0.0258 0.02 0 0.06 0.02
0.0259 0.04 0 0.06 0.02
0.026 0.04 0 0.04 0.02
0.0261 0.04 0 0.02 0.02
0.0262 0.04 0 0.04 0.02
0.0263 0.06 0 0.06 0
0.0264 0.02 0 0.04 0.02
0.0265 0.04 0 0.04 0.02
0.0266 0.04 0 0.06 0.02
0.0267 0.04 0 0.04 0.02
0.0268 0.02 0 0.06 0.04
0.0269 0.04 0.04 0.04 0.02
0.027 0.04 0.02 0.04 0.04
0.0271 0.04 0.02 0.06 0.02
0.0272 0.04 0 0.02 0.02
0.0273 0.04 0 0.04 0
0.0274 0.04 0 0.04 0.02
0.0275 0.04 0.02 0.04 0.02
0.0276 0.02 0.02 0.04 0.02
0.0277 0.04 0.02 0.04 0.02
0.0278 0.06 0 0 0.02
0.0279 0.02 0 0.04 0.04
0.028 0.04 0 0.04 0
0.0281 0.06 0 0.06 0.04
0.0282 0.04 0 0.04 0
0.0283 0.02 0 0.06 0.02
0.0284 0.04 0 0.02 0.02
0.0285 0.06 0 0.04 0.02
0.0286 0.04 0.02 0.06 0.02
0.0287 0.02 0.04 0.04 0.02
0.0288 0.04 0.02 0.04 0.02
0.0289 0.04 0 0.04 0.02
0.029 0.04 0 0.04 0.02
0.0291 0.02 0.02 0.04 0.02
0.0292 0.06 0 0.02 0.02
0.0293 0.02 0 0.04 0
0.0294 0.04 0 0.04 0
0.0295 0.02 0 0.02 0
0.0296 0.04 0 0.04 0
0.0297 0.04 0 0.06 0
0.0298 0.04 0.02 0.06 0.02
0.0299 0.04 0 0.04 0.02
0.03 0.02 0.02 0.04 0.02
0.0301 0.04 0 0.04 0
0.0302 0.04 0 0.06 0.02
0.0303 0.04 0.02 0.04 0.02
0.0304 0.02 0 0.04 0.02
0.0305 0.04 0.02 0.04 0.02
0.0306 0.04 0.04 0.06 0.02
0.0307 0.04 0.02 0.04 0
0.0308 0.04 0 0.04 0.02
0.0309 0.04 0.02 0.06 0
0.031 0.04 0.02 0.04 0.04
0.0311 0.02 0.02 0.04 0.02
0.0312 0.04 0.02 0.04 0
0.0313 0.04 0.02 0.02 0.02
0.0314 0.04 0 0.04 0.02
0.0315 0.06 0 0.04 0.02
0.0316 0.02 0 0.04 0.02
0.0317 0.04 0.02 0.06 0
0.0318 0.04 0.02 0.04 0
0.0319 0.04 0 0.06 0.02
0.032 0.02 0.02 0.04 0.02
0.0321 0.04 0.02 0.06 0
0.0322 0.04 0 0.04 0
0.0323 0.02 0.02 0.02 0
0.0324 0.04 0.02 0.04 0
0.0325 0.02 0.02 0.04 0.02
0.0326 0.02 0.02 0.06 0
0.0327 0.04 0.02 0.04 0
0.0328 0.04 0 0.04 0.02
0.0329 0.04 0.02 0.02 0
0.033 0.04 0 0.04 0
0.0331 0.04 0.02 0.06 0
0.0332 0.02 0 0.04 0.02
0.0333 0.04 0 0.06 0.02
0.0334 0.02 0.02 0.04 0
0.0335 0.04 0 0.04 0
0.0336 0.04 0 0.06 0.02
0.0337 0.04 0.02 0.06 0.02
0.0338 0.04 0 0.04 0
0.0339 0.02 0.04 0.04 0.02
0.034 0.04 0.02 0.04 0
0.0341 0.04 0 0.06 0.02
0.0342 0.04 0 0.04 0.02
0.0343 0.04 0 0.04 0.02
0.0344 0.04 0 0.02 0
0.0345 0.04 0 0.02 0.02
0.0346 0.02 0.02 0.04 0.02
0.0347 0.04 0.02 0.02 0.02
0.0348 0.04 0.02 0.06 0.02
0.0349 0.06 0.02 0.04 0.02
0.035 0.04 0.04 0.02 0
0.0351 0.04 0 0.04 0.02
0.0352 0.04 0.02 0.04 0.02
0.0353 0.04 0.04 0.04 0
0.0354 0.04 0.02 0.04 0
0.0355 0.04 0.02 0.04 0
0.0356 0.04 0 0.04 0.02
0.0357 0.04 0.02 0.06 0
0.0358 0.04 -0.02 0.04 0.02
0.0359 0.02 0 0.04 0.02
0.036 0.02 0.02 0.04 0
0.0361 0.04 0.02 0.04 0.02
0.0362 0.04 0 0.04 0
0.0363 0.04 0.02 0.04 0.02
0.0364 0.04 0 0.06 0.02
0.0365 0.04 0 0.06 0.02
0.0366 0.04 0 0.02 0.02
0.0367 0.02 0 0.04 0.02
0.0368 0.04 0.02 0.02 0.02
0.0369 0.04 0 0.04 0.02
0.037 0.04 0.02 0.04 0.02
0.0371 0.02 0.04 0.04 0.02
0.0372 0.04 0.02 0.04 0.02
0.0373 0.02 0 0.06 0
0.0374 0.04 0.02 0.04 0.02
0.0375 0.04 0 0.04 0.02
0.0376 0.04 0.02 0.06 0.02
0.0377 0.04 0.02 0.04 0
0.0378 0.04 0.02 0.04 0.02
0.0379 0.02 0 0.04 0
0.038 0.04 0.02 0.04 0.02
0.0381 0.06 0.02 0.04 0.02
0.0382 0.02 0.02 0.04 0
0.0383 0.04 0 0.04 0
0.0384 0.02 0 0.04 0
0.0385 0.04 0.02 0.04 0.02
0.0386 0.02 0 0.04 0.02
0.0387 0.04 0.04 0.04 0.02
0.0388 0.04 0.02 0.04 0.02
0.0389 0.04 0 0.04 0.02
0.039 0.02 0 0.04 0.02
0.0391 0.06 0 0.04 0.02
0.0392 0.04 0.02 0.02 0.02
0.0393 0.04 0 0.06 0.02
0.0394 0.06 0.02 0.02 0.02
0.0395 0.04 0.02 0.06 0.02
0.0396 0.04 0.02 0.04 0
0.0397 0.04 0.02 0.04 0.02
0.0398 0.02 0 0.06 0.02
0.0399 0.02 0.02 0.04 0.02
0.04 0.04 0.04 0.04 0.02
0.0401 0.06 0.02 0.04 0
0.0402 0.04 0.02 0.04 0.02
0.0403 0.02 0.04 0.04 0.02
0.0404 0.04 0.02 0.04 0.02
0.0405 0.02 0 0.06 0.02
0.0406 0.04 0.02 0.06 0.02
0.0407 0.04 0 0.04 0.02
0.0408 0.04 0 0.04 0
0.0409 0.04 0 0.04 0.02
0.041 0.04 0.02 0.04 0.02
0.0411 0.02 0.02 0.04 0.02
0.0412 0.02 0 0.04 0
0.0413 0.04 0.02 0.04 0
0.0414 0.04 0 0.04 0.02
0.0415 0.04 0.02 0.06 0
0.0416 0.04 0.02 0.04 0.02
0.0417 0.04 0.02 0.04 0.02
0.0418 0.04 0 0.04 0
0.0419 0.04 0 0.04 0.02
0.042 0.06 0 0.02 0.02
0.0421 0.02 0.02 0.04 0
0.0422 0.04 0.02 0.06 0.02
0.0423 0.04 0.02 0.04 0.02
0.0424 0.06 0.02 0.06 0.02
0.0425 0.04 0.02 0.04 0
0.0426 0.04 0 0.04 0
0.0427 0.02 0 0.04 0.02
0.0428 0.04 0 0.02 0.02
0.0429 0.02 0.02 0.04 0.02
0.043 0.02 0.04 0.04 0.04
0.0431 0.04 0 0.04 0
0.0432 0.02 0 0.06 0.04
0.0433 0.02 0 0.04 0
0.0434 0.04 0.02 0.04 0
0.0435 0.04 0.02 0.06 0
0.0436 0.04 0.02 0.04 0
0.0437 0.06 0.02 0.04 0.02
0.0438 0.04 0.02 0.04 0.02
0.0439 0.04 0.02 0.04 0.02
0.044 0.02 0.02 0.06 0
0.0441 0.04 0.02 0.04 0.02
0.0442 0.02 0.02 0.04 0
0.0443 0.04 0 0.04 0
0.0444 0.06 0.02 0.06 0
0.0445 0.04 0.02 0.04 0
0.0446 0.04 0 0.06 0
0.0447 0.04 0 0.04 0.02
0.0448 0.04 0 0.06 0
0.0449 0.04 0.02 0.06 0.02
0.045 0.04 0 0.06 0.02
0.0451 0.04 0 0.02 0.02
0.0452 0.02 0 0.04 0
0.0453 0.04 0.02 0.04 0
0.0454 0.04 0.02 0.04 0.02
0.0455 0.04 0 0.04 0.02
0.0456 0.04 0 0.04 0
0.0457 0.04 0.04 0.04 0
0.0458 0.04 0 0.04 0.02
0.0459 0.04 0.02 0.04 0
0.046 0.04 0 0.06 0.02
0.0461 0.04 0 0.02 0.02
0.0462 0.04 0.02 0.02 0
0.0463 0.04 0 0.06 0.02
0.0464 0.04 0.02 0.06 0
0.0465 0.04 0 0.04 0.02
0.0466 0.04 0 0.04 0.02
0.0467 0.04 0 0.06 0
0.0468 0.04 0 0.06 0
0.0469 0.04 0.02 0.04 0.02
0.047 0.04 0 0.02 0.02
0.0471 0.04 0.02 0.04 0.02
0.0472 0.04 0 0.06 0
0.0473 0.02 0 0.04 0
0.0474 0.06 0 0.06 0.02
0.0475 0.04 0.02 0.04 0
0.0476 0.04 0 0.04 0
0.0477 0.04 0 0.06 0.02
0.0478 0.04 0.02 0.04 0.02
0.0479 0.04 0.02 0.02 0
0.048 0.04 0 0.02 0.02
0.0481 0.04 0.02 0.04 0.02
0.0482 0.04 0.02 0.04 0.02
0.0483 0.04 0.02 0.04 0.02
0.0484 0.02 0.02 0.04 0
0.0485 0.02 0 0.04 0.04
0.0486 0.04 0.02 0.04 0.02
0.0487 0.04 0 0.04 0.02
0.0488 0.06 0 0.04 0.02
0.0489 0.04 0.02 0.04 0.02
0.049 0.04 0.02 0.04 0.02
0.0491 0.04 0 0.04 0.02
0.0492 0.04 0.02 0.04 0.02
0.0493 0.06 0.04 0.04 0.02
0.0494 0.04 0.02 0.06 0.02
0.0495 0.04 0.02 0.02 0.02
0.0496 0.04 0.04 0.02 0.02
0.0497 0.02 0 0.06 0.02
0.0498 0.02 0.02 0.04 0.02
0.0499 0.06 0 0.04 0.02
